crypto_name,date,price,market_cap,volume,ingestion_timestamp
ethereum,2026-02-18 17:00:36.784,1970.7264876406643,237696276772.86566,23091503893.042255,2026-03-03 01:20:38.901436
ethereum,2026-02-18 18:01:00.003,1973.2563301407945,237995752355.6858,19203883148.144356,2026-03-03 01:20:38.901437
ethereum,2026-02-18 19:00:35.270,1952.3425040123807,236091549795.6303,22323057405.314465,2026-03-03 01:20:38.901437
ethereum,2026-02-18 20:02:05.146,1937.9312357419658,233429214432.67978,20091237062.529224,2026-03-03 01:20:38.901438
ethereum,2026-02-18 21:02:09.009,1940.16276989658,234247978131.1198,22867110896.773148,2026-03-03 01:20:38.901439
ethereum,2026-02-18 22:01:31.356,1941.5411960083682,234391305157.6704,20499218789.09203,2026-03-03 01:20:38.901440
ethereum,2026-02-18 23:00:24.109,1947.7634013679203,235009182007.95044,22147300419.511154,2026-03-03 01:20:38.901441
ethereum,2026-02-19 00:01:18.088,1954.4481156455342,235926025993.51245,19809231024.498226,2026-03-03 01:20:38.901441
ethereum,2026-02-19 01:02:47.503,1955.7634353424992,235877972150.643,19655408321.739914,2026-03-03 01:20:38.901442
ethereum,2026-02-19 02:02:43.541,1966.3315197191712,237313715013.82455,22870231670.28354,2026-03-03 01:20:38.901443
ethereum,2026-02-19 03:04:20.337,1966.675995769814,237083290735.08035,20127153211.239727,2026-03-03 01:20:38.901444
ethereum,2026-02-19 04:00:53.997,1971.8320731946944,237856333240.1644,19324108820.6521,2026-03-03 01:20:38.901448
ethereum,2026-02-19 05:03:14.182,1969.0021023561076,237789368905.8988,22511000567.92517,2026-03-03 01:20:38.901449
ethereum,2026-02-19 06:01:31.959,1969.2445609850797,237681200803.7198,22501145048.258495,2026-03-03 01:20:38.901450
ethereum,2026-02-19 07:00:31.430,1982.2263820961646,239252982580.09027,20453149282.03986,2026-03-03 01:20:38.901451
ethereum,2026-02-19 08:01:55.513,1980.5019202927174,238905622426.573,19396782201.528564,2026-03-03 01:20:38.901452
ethereum,2026-02-19 09:02:22.146,1970.2954951775405,237543384295.47424,18958092798.900898,2026-03-03 01:20:38.901453
ethereum,2026-02-19 10:02:35.505,1963.3430107311294,236944755960.094,20056733349.457584,2026-03-03 01:20:38.901453
ethereum,2026-02-19 11:02:37.401,1958.5404328875156,236473406671.1997,20730958954.85784,2026-03-03 01:20:38.901454
ethereum,2026-02-19 12:02:42.675,1949.3167955472268,235475862339.4228,20583664570.95106,2026-03-03 01:20:38.901455
ethereum,2026-02-19 13:01:00.243,1946.9105271609526,234999943972.3891,18669623466.597805,2026-03-03 01:20:38.901456
ethereum,2026-02-19 14:02:07.563,1921.0043055127544,231817497417.91644,19352715877.821907,2026-03-03 01:20:38.901457
ethereum,2026-02-19 15:02:39.170,1936.602055658481,234428724802.93982,20179775741.546078,2026-03-03 01:20:38.901458
ethereum,2026-02-19 16:01:02.944,1923.7919849874968,231916164823.4411,22145936318.459873,2026-03-03 01:20:38.901458
ethereum,2026-02-19 17:01:53.505,1922.3541564281,232025009728.90073,21068383462.143143,2026-03-03 01:20:38.901459
ethereum,2026-02-19 18:01:39.674,1918.5571030854821,231408618128.83755,18207574031.917385,2026-03-03 01:20:38.901460
ethereum,2026-02-19 19:02:15.757,1938.399861298769,233789563515.87158,21334569296.438526,2026-03-03 01:20:38.901461
ethereum,2026-02-19 20:03:17.803,1939.9836453656517,234120005802.9275,19666588732.140816,2026-03-03 01:20:38.901462
ethereum,2026-02-19 21:03:18.762,1948.982028721547,235132847388.97568,17280883551.62181,2026-03-03 01:20:38.901463
ethereum,2026-02-19 22:02:10.806,1946.5341880722603,234977005513.04428,17418077111.31848,2026-03-03 01:20:38.901463
